so_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
103,,22,08,050,87,85,10.39,NULL,NULL,NULL,NULL,NULL
104,,22,08,051,8,1000,113.4,NULL,NULL,NULL,NULL,NULL
105,,22,08,052,89,2000,NULL,NULL,NULL,NULL,NULL,NULL
106,,22,08,053,75,1000,702,NULL,NULL,NULL,NULL,NULL
107,,22,08,053,82,1000,702,NULL,NULL,NULL,NULL,NULL
108,,22,08,054,110,1500,NULL,NULL,NULL,NULL,NULL,NULL
109,,22,08,055,95,300,NULL,NULL,NULL,NULL,NULL,NULL
110,,22,08,056,74,1000,175,NULL,NULL,NULL,NULL,NULL
111,,22,09,057,42,3111,NULL,NULL,NULL,NULL,NULL,NULL
112,,22,09,058,40,5700,NULL,NULL,NULL,NULL,NULL,NULL
113,,22,09,059,41,1250,NULL,NULL,NULL,NULL,NULL,NULL
114,,22,09,060,9,1000,250.3,NULL,NULL,NULL,NULL,NULL
115,,22,09,060,9,1500,375.44,NULL,NULL,NULL,NULL,NULL
116,,22,09,060,9,1,10,NULL,NULL,NULL,NULL,NULL
117,,22,09,061,43,5110,NULL,NULL,NULL,NULL,NULL,NULL
118,,22,09,062,99,1000,NULL,NULL,NULL,NULL,NULL,NULL
119,,22,09,063,70,550,NULL,NULL,NULL,NULL,NULL,NULL
120,,22,09,063,56,450,NULL,NULL,NULL,NULL,NULL,NULL
121,,22,09,063,83,400,NULL,NULL,NULL,NULL,NULL,NULL
122,,22,09,064,92,1000,NULL,NULL,NULL,NULL,NULL,NULL
123,,22,09,065,14,1000,NULL,NULL,NULL,NULL,NULL,NULL
124,,22,09,065,15,1000,NULL,NULL,NULL,NULL,NULL,NULL
125,,22,09,066,73,1000,150,NULL,NULL,NULL,NULL,NULL
126,,22,10,067,44,3075,NULL,NULL,NULL,NULL,NULL,NULL
127,,22,10,068,50,1000,175,NULL,NULL,NULL,NULL,NULL
128,,22,10,068,51,1000,219.45,NULL,NULL,NULL,NULL,NULL
129,,22,10,068,56,5000,2240,NULL,NULL,NULL,NULL,NULL
130,,22,10,068,72,750,247,NULL,NULL,NULL,NULL,NULL
131,,22,10,068,83,5000,1550,NULL,NULL,NULL,NULL,NULL
132,,22,10,069,68,1000,250,NULL,NULL,NULL,NULL,NULL
133,,22,10,070,90,2150,NULL,NULL,NULL,NULL,NULL,NULL
134,,22,10,071,111,3000,NULL,NULL,NULL,NULL,NULL,NULL
135,,22,10,071,107,5000,NULL,NULL,NULL,NULL,NULL,NULL
136,,22,10,072,97,1075,NULL,NULL,NULL,NULL,NULL,NULL
