prefix,year,month,sec_number,suffix,product_id,po_detail_id,target_unit_yield,actual_unit_yield,batch_printed,bpr_printed,exp_date,exp_type
,22,07,103,,103,98,125,104,1,1,NULL,NULL
,22,07,104,,74,110,1000,1019,1,1,NULL,NULL
,22,07,105,,81,85,250,NULL,1,1,NULL,NULL
,22,07,106,,81,85,250,NULL,1,1,NULL,NULL
,22,07,107,,76,86,250,NULL,1,1,NULL,NULL
,22,07,108,,76,86,250,NULL,1,1,NULL,NULL
,22,07,109,,30,101,17310,NULL,1,1,NULL,NULL
,22,08,110,,112,102,3000,NULL,1,1,NULL,NULL
,22,08,111,,87,103,85,NULL,1,1,NULL,NULL
,22,08,112,,79,99,500,509,1,1,NULL,NULL
,22,08,113,,80,100,500,510,1,1,NULL,NULL
,22,08,114,,8,104,1000,1047,1,1,NULL,NULL
,22,08,115,,89,105,2000,1875,1,1,NULL,NULL
,22,08,116,,110,108,897,888,1,1,NULL,NULL
,22,08,117,,110,108,277,248,1,1,NULL,NULL
,22,08,118,,95,109,300,279,1,1,NULL,NULL
,22,09,119,,75,106,337,340,1,1,NULL,NULL
,22,09,120,,75,106,337,340,1,1,NULL,NULL
,22,09,121,,75,106,337,342,1,1,NULL,NULL
,22,09,122,,82,107,337,338,1,1,NULL,NULL
,22,09,123,,82,107,337,339,1,1,NULL,NULL
,22,09,124,,82,107,337,399,1,1,NULL,NULL
,22,09,125,,42,111,3111,3207,1,1,NULL,NULL
,22,09,126,,41,113,1250,1231,1,1,NULL,NULL
,22,09,127,,40,112,5700,NULL,1,1,NULL,NULL
,22,09,128,,9,114,748,744,1,1,NULL,NULL
,22,09,129,,9,115,792,784,1,1,NULL,NULL
,22,09,130,,9,116,1022,1022,1,1,NULL,NULL
,22,09,131,,43,117,5110,4620,1,1,NULL,NULL
,22,09,132,,99,118,800,775,1,1,NULL,NULL
,22,09,133,,56,120,450,455,1,1,NULL,NULL
,22,09,134,,83,121,400,405,1,1,NULL,NULL
